Title,Year,Authors,Venue,PublicationType,JournalTier,Field,StudyType,DataType,DLW_Related,DLW_Signal,DataProvided,CodeProvided,ReplicationPackage,DOI,URL,OpenAlexID,SearchTerm
"DynareR: Harnessing Dynare for Economic Modelling in R, R Markdown and Quarto",2024,Sagiru Mati; A. G. Usman; İrfan Civcir; Dilber Uzun Ozsahin; Berna Uzun; Sani I. Abba,Computational Economics,Journal article,OtherJournal,Other,Theory,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.1007/s10614-024-10789-w,https://doi.org/10.1007/s10614-024-10789-w,https://openalex.org/W4404830395,markdown
Impact of Markup on Profitability Ratios: Evidence from Finland,2024,Erkki K. Laitinen,Theoretical Economics Letters,Journal article,OtherJournal,Other,Empirical,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.4236/tel.2024.144077,http://dx.doi.org/10.4236/tel.2024.144077,https://openalex.org/W4401621938,markup
Increasing returns to scale and markups,2024,Olga Shanks,Structural Change and Economic Dynamics,Journal article,OtherJournal,Other,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.strueco.2024.02.009,https://doi.org/10.1016/j.strueco.2024.02.009,https://openalex.org/W4391934009,markup
Markdown themes in practice,2024,Vít Novotný,TUGboat,Journal article,OtherJournal,Other,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.47397/tb/45-2/tb140starynovotny-markdown-themes,https://doi.org/10.47397/tb/45-2/tb140starynovotny-markdown-themes,https://openalex.org/W4402468595,markdown
Markups and Entry in a Circular Hotelling Model,2024,Robert J. Barro,SSRN Electronic Journal,Journal article,OtherJournal,Other,Theory,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4894654,http://dx.doi.org/10.2139/ssrn.4894654,https://openalex.org/W4400668054,markup
Markups and Markdowns,2024,Chad Syverson,SSRN Electronic Journal,Journal article,OtherJournal,Other,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4936907,http://dx.doi.org/10.2139/ssrn.4936907,https://openalex.org/W4401918591,markup
Markups and Markdowns,2024,Chad Syverson,SSRN Electronic Journal,Journal article,OtherJournal,Other,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4940531,http://dx.doi.org/10.2139/ssrn.4940531,https://openalex.org/W4401991996,markup
Markups: A Search-Theoretic Perspective,2024,Guido Menzio,SSRN Electronic Journal,Journal article,OtherJournal,Other,Theory,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4943666,http://dx.doi.org/10.2139/ssrn.4943666,https://openalex.org/W4402173059,markup
Moral hazard in physician prescribing behavior: evidence from China’s Zero-Markup Policy,2024,Ning Zhang; Yunpeng Dong; Yang Li; Miao Guo,Applied Economics,Journal article,OtherJournal,Other,Empirical,Country-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1080/00036846.2024.2424502,https://doi.org/10.1080/00036846.2024.2424502,https://openalex.org/W4404249762,markup
Rising Markups and the Role of Consumer Preferences,2024,Hendrik Döpper; Alexander MacKay; N. A. Miller; Joel Stiebale,SSRN Electronic Journal,Journal article,OtherJournal,Other,Unknown,Individual/household,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4908550,http://dx.doi.org/10.2139/ssrn.4908550,https://openalex.org/W4401172682,markup
Unequal Markup Responses during Recessions,2024,Jonathan Becker,SSRN Electronic Journal,Journal article,OtherJournal,Other,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.5044151,https://doi.org/10.2139/ssrn.5044151,https://openalex.org/W4404991472,markup
What Is Behind the Rise in Markups?,2024,Ricardo Marto,Economic Synopses,Journal article,OtherJournal,Other,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.20955/es.2024.14,http://dx.doi.org/10.20955/es.2024.14,https://openalex.org/W4400732615,markup
"A note on variable markup, knowledge spillover, and multiple steady states in the variety expansion model",2023,Tadashi Morita,Macroeconomic Dynamics,Journal article,OtherJournal,Other,Theory,Product-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1017/s1365100522000785,https://doi.org/10.1017/s1365100522000785,https://openalex.org/W4318778124,markup
Decomposing the Rise in Markups with Measurement Error,2023,Has van Vlokhoven,SSRN Electronic Journal,Journal article,OtherJournal,Other,Method,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4338765,http://dx.doi.org/10.2139/ssrn.4338765,https://openalex.org/W4318225060,markup
Incorporating Theory-Consistent Endogenous Markups into Applied General-Equilibrium Models,2023,James R. Markusen,SSRN Electronic Journal,Journal article,OtherJournal,Other,Theory,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4431381,http://dx.doi.org/10.2139/ssrn.4431381,https://openalex.org/W4367358788,markup
Increasing Returns to Scale and Markups,2023,Olga Shanks,SSRN Electronic Journal,Journal article,OtherJournal,Other,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4654584,http://dx.doi.org/10.2139/ssrn.4654584,https://openalex.org/W4389352774,markup
"Marge unitaire, taux de marge, markup: est-ce bon pour le profit ?",2023,Louis de Mesnard,HAL (Le Centre pour la Communication Scientifique Directe),Journal article,OtherJournal,Other,Unknown,Unknown,No,,Unknown,Unknown,Unknown,,https://ube.hal.science/hal-04474491,https://openalex.org/W4392119986,markup
"Markdown, Price Commitment or Price Matching: The Role of Patience for Strategic Consumers and Firms",2023,Hua Wang; Chunguang Bai; Chong Zhang,SSRN Electronic Journal,Journal article,OtherJournal,Other,Unknown,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4382991,http://dx.doi.org/10.2139/ssrn.4382991,https://openalex.org/W4327768627,markdown
Markups and Pricing-to-market,2023,Syed Al-Helal Uddin; Hakan Yilmazkuday,SSRN Electronic Journal,Journal article,OtherJournal,Other,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4573473,http://dx.doi.org/10.2139/ssrn.4573473,https://openalex.org/W4387545268,markup
Medical service pricing and pharmaceutical supply chain coordination contracts under the zero-markup drug policy,2023,Nan Zhou; Shiyang Li; Gang Zhao; Chengjiang Li; Na Yu,Frontiers in Public Health,Journal article,OtherJournal,Other,Theory,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.3389/fpubh.2023.1208994,https://doi.org/10.3389/fpubh.2023.1208994,https://openalex.org/W4387779652,markup
Secular Rise and Pro-Cyclical Variation in Markups: Evidence from Us Grocery Stores,2023,Bulat Gafarov; Tengda Gong; Jens Hilscher,SSRN Electronic Journal,Journal article,OtherJournal,Other,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4442020,https://doi.org/10.2139/ssrn.4442020,https://openalex.org/W4377003343,markup
Secular Rise and Pro-Cyclical Variation in Markups: Evidence from US Grocery Stores,2023,Bulat Gafarov; Tengda Gong; Jens Hilscher,SSRN Electronic Journal,Journal article,OtherJournal,Other,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4551482,https://doi.org/10.2139/ssrn.4551482,https://openalex.org/W4386493981,markup
Simple Monotonic Readjustment Policies with Applications to Markdown Pricing and Pricing in the Presence of Strategic Customers,2023,Yiwei Chen; Stefanus Jasin,Operations Research,Journal article,OtherJournal,Other,Unknown,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1287/opre.2020.0774,https://doi.org/10.1287/opre.2020.0774,https://openalex.org/W4390395076,markdown
Technique for Hierarchical Markup of Text Data Based on the Ontological Representation of Personal Data Processing Scenarios,2023,M. D. Kuznetsov,LETI Transactions on Electrical Engineering & Computer Science,Journal article,OtherJournal,Other,Method,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.32603/2071-8985-2023-16-5-59-67,http://doi.org/10.32603/2071-8985-2023-16-5-59-67,https://openalex.org/W4387859465,markup
Time Use and the Efficiency of Heterogeneous Markups,2023,Brian C. Albrecht; Thomas Phelan; Nick Pretnar,SSRN Electronic Journal,Journal article,OtherJournal,Other,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4635011,http://dx.doi.org/10.2139/ssrn.4635011,https://openalex.org/W4388759328,markup
A Chatbot Application by using Natural Language Processing and Artificial Intelligence Markup Language,2022,"Vanshika Arya; Rukhsar Khan; Prof. Mukul Aggarwal; An Intern at DXC, Bengaluru (Karnataka), India.; Prof. Mukul Aggarwal; Assistant Professor, KIET Group of Institutions, Muradnagar (U.P), India.",International Journal of Soft Computing and Engineering,Journal article,OtherJournal,Other,Method,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.35940/ijsce.c3566.0712322,https://doi.org/10.35940/ijsce.c3566.0712322,https://openalex.org/W4281286468,markup
A variant SDDP approach for periodic-review approximately optimal pricing of a slow-moving a item in a duopoly under price protection with end-of-life return and retail fixed markdown policy,2022,Barış Doğu Yıldız; Muhammed Sütçü,Expert Systems with Applications,Journal article,OtherJournal,Other,Method,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.eswa.2022.118801,https://doi.org/10.1016/j.eswa.2022.118801,https://openalex.org/W4295136373,markdown
Decomposing the Rise in Markups,2022,Has van Vlokhoven,SSRN Electronic Journal,Journal article,OtherJournal,Other,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4046723,https://doi.org/10.2139/ssrn.4046723,https://openalex.org/W4226405525,markup
Entry and Welfare in General Equilibrium with Heterogeneous Firms and Endogenous Markups,2022,Seung Hoon Lee,EAER International Conference Proceedings,Journal article,OtherJournal,Other,Theory,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.11644/kiep.eaer.conf.2022.68,https://doi.org/10.11644/kiep.eaer.conf.2022.68,https://openalex.org/W4307751685,markup
How Large Are Double Markups?,2022,Elisa Duran-Micco; Jeffrey M. Perloff,Zenodo (CERN European Organization for Nuclear Research),Journal article,OtherJournal,Other,Empirical,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.5281/zenodo.7105676,https://doi.org/10.5281/zenodo.7105676,https://openalex.org/W3034144122,markup
Labor Market Concentration and Heterogeneous Effects on Markdowns Evidence from Japan,2022,Atsuko Izumi; Naomi Kodama; Hyoeg Ug Kwon,SSRN Electronic Journal,Journal article,OtherJournal,Other,Empirical,Individual/household,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4100434,https://doi.org/10.2139/ssrn.4100434,https://openalex.org/W4285170434,markdown
Markdown 2.15.0: What's new?,2022,Vít Novotný,TUGboat,Journal article,OtherJournal,Other,Unknown,Individual/household,No,,Unknown,Unknown,Unknown,https://doi.org/10.47397/tb/43-1/tb133novotny-markdown,https://doi.org/10.47397/tb/43-1/tb133novotny-markdown,https://openalex.org/W4285248549,markdown
Markdown Optimization with Generalized Weighted Least Squares Estimation,2022,Mustafa Hekimoğlu,International Journal of Computational Intelligence Systems,Journal article,OtherJournal,Other,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.1007/s44196-022-00163-9,https://doi.org/10.1007/s44196-022-00163-9,https://openalex.org/W4311188517,markdown
Markup Differences are Biased Measures of Lerner Index Differences,2022,Alexander Raskovich,SSRN Electronic Journal,Journal article,OtherJournal,Other,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4285410,https://doi.org/10.2139/ssrn.4285410,https://openalex.org/W4313153708,markup
Markups Across the Income Distribution: Measurement and Implications,2022,Kunal Sangani,SSRN Electronic Journal,Journal article,OtherJournal,Other,Method,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4092068,https://doi.org/10.2139/ssrn.4092068,https://openalex.org/W4285249293,markup
Modeling bidding decisions and bid markup size for construction projects: A fuzzy approach,2022,Ibrahim S. Zaqout; Muhammad Saiful Islam; Laith A. Hadidi; Martin Skitmore,Engineering Applications of Artificial Intelligence,Journal article,OtherJournal,Other,Method,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.engappai.2022.104982,https://doi.org/10.1016/j.engappai.2022.104982,https://openalex.org/W4281834523,markup
The Evolution of Concentration and Markups in the United States Cement Industry,2022,Nathan Miller; Matthew Osborne; Gloria Sheu; Gretchen Sileo,SSRN Electronic Journal,Journal article,OtherJournal,Other,Unknown,Industry-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4041168,https://doi.org/10.2139/ssrn.4041168,https://openalex.org/W4225823318,markup
"Trade in Niches, Variable Markups, and Firm Sorting in General Equilibrium",2022,Shamil Sharapudinov,SSRN Electronic Journal,Journal article,OtherJournal,Other,Theory,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4010994,https://doi.org/10.2139/ssrn.4010994,https://openalex.org/W4210448760,markup
Waste Reduction of Perishable Products through Markdowns at Expiry Dates,2022,Arnoud V. den Boer; H.M. Jansen; Jinglong Zhao,SSRN Electronic Journal,Journal article,OtherJournal,Other,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4151451,https://doi.org/10.2139/ssrn.4151451,https://openalex.org/W4286358555,markdown
A newsvendor problem with markup pricing in the presence of within-period price fluctuations,2021,Caner Canyakmaz; Süleyman Özekıcı; Fikri Karaesmen,European Journal of Operational Research,Journal article,OtherJournal,Other,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.ejor.2021.09.042,https://doi.org/10.1016/j.ejor.2021.09.042,https://openalex.org/W3207460551,markup
ABORDAGENS DE ESTABELECIMENTO DE PREÇOS E MODELOS DE MARKUP,2021,Aliomar Lino Mattos; José Carlos Tiomatsu Oyadomari; Fernando Nascimento Zatta,Anais do Congresso Brasileiro de Custos - ABC,Journal article,OtherJournal,Other,Theory,Firm-level,No,,Unknown,Unknown,Unknown,,https://anaiscbc.emnuvens.com.br/anais/article/view/4835,https://openalex.org/W3213774790,markup
AGGREGATE MARKUP DYNAMICS: EVIDENCE FROM CHINA,2021,Wen Yue,The Singapore Economic Review,Journal article,OtherJournal,Other,Method,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1142/s0217590822500060,https://doi.org/10.1142/s0217590822500060,https://openalex.org/W4200584674,markup
Decomposing the Rise in Markups,2021,Has van Vlokhoven,SSRN Electronic Journal,Journal article,OtherJournal,Other,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.3874191,https://doi.org/10.2139/ssrn.3874191,https://openalex.org/W3211796325,markup
"Demand, Supply, and Markup Fluctuations",2021,Carlos Daniel Santos; Luís F. Costa; Paulo Brito,SSRN Electronic Journal,Journal article,OtherJournal,Other,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.3872965,https://doi.org/10.2139/ssrn.3872965,https://openalex.org/W4250528521,markup
Estimating resource misallocation: Distinguishing factor market distortions from variable markups,2021,Ningning Li; Yongjin Wang,Economics Letters,Journal article,OtherJournal,Other,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.econlet.2021.110027,https://doi.org/10.1016/j.econlet.2021.110027,https://openalex.org/W3192154401,markup
Markdown Pricing of Perishable Products with Demand Dependence on Inventory Level and Selling Price,2021,Ameneh Jeihouni; Hossein Safari; Mohammad Reza Sadeghi Moghadam; Farzad Bahrami,مدیریت صنعتی,Journal article,OtherJournal,Other,Method,Firm-level,No,,Unknown,Unknown,Unknown,,http://imj.iausdj.ac.ir/article_682760_05f4e645ab93fac0b4cf4b152b33b358.pdf,https://openalex.org/W3206897551,markdown
Markdown Pricing Under Unknown Demand,2021,Su Jia; Andrew Li; R. Ravi,SSRN Electronic Journal,Journal article,OtherJournal,Other,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.3861379,https://doi.org/10.2139/ssrn.3861379,https://openalex.org/W3186366996,markdown
Markups in a dual labour market: The case of the Netherlands,2021,Gerrit Hugo van Heuvelen; Léon Bettendorf; G.W. Meijerink,International Journal of Industrial Organization,Journal article,OtherJournal,Other,Unknown,Individual/household,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.ijindorg.2021.102762,https://doi.org/10.1016/j.ijindorg.2021.102762,https://openalex.org/W3173549808,markup
Measuring Markups with Revenue Data,2021,Ivan Kirov; James Traina,SSRN Electronic Journal,Journal article,OtherJournal,Other,Method,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.3912966,https://doi.org/10.2139/ssrn.3912966,https://openalex.org/W3202720883,markup
Retail markdown price optimization and inventory allocation under demand parameter uncertainty,2021,Andrew Vakhutinsky,SSRN Electronic Journal,Journal article,OtherJournal,Other,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.3875689,https://doi.org/10.2139/ssrn.3875689,https://openalex.org/W4237447786,markdown
Risk information and markdowns-induced incentives to participate in hotel room resale schemes,2021,Ling Ling; Timothy Webb; Zvi Schwartz,Journal of Revenue and Pricing Management,Journal article,OtherJournal,Other,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.1057/s41272-021-00352-9,https://doi.org/10.1057/s41272-021-00352-9,https://openalex.org/W3174263498,markdown
The Cyclical Behavior of Markups in the New Keynesian Models,2021,Jean Blaise Nlemfu Mukoko,SSRN Electronic Journal,Journal article,OtherJournal,Other,Theory,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.3977888,https://doi.org/10.2139/ssrn.3977888,https://openalex.org/W4211052255,markup
The Impact of China’s Zero Markup Drug Policy on Hospitalization Expenses for Inpatients in Tertiary Public Hospitals: Evidence Based on Quantile Difference-in-Difference Models,2021,Ziling Ni; Jie Jia; Lu Cui; Siyu Zhou; Xiaohe Wang,Healthcare,Journal article,OtherJournal,Other,Method,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.3390/healthcare9070908,https://doi.org/10.3390/healthcare9070908,https://openalex.org/W3186795674,markup
Using Markdown Like an Academic | Jason A. Heppler,2021,Jason A. Heppler,Jason Heppler weblog,Journal article,OtherJournal,Other,Empirical,Unknown,No,,Unknown,Unknown,Unknown,,https://jasonheppler.org/2012/11/20/using-markdown-like-an-academic/,https://openalex.org/W2786484458,markdown
Evolution of Markups in the Manufacturing Industry of Turkiye,2025,Eren Gürer; Pınar Derin-Güre,Hacettepe Üniversitesi İktisadi ve İdari Bilimler Fakültesi Dergisi,Preprint,WorkingPaper/Preprint,Industrial organization,Method,Firm-level,Yes,production function,Unknown,Unknown,Unknown,https://doi.org/10.17065/huniibf.1555714,https://doi.org/10.17065/huniibf.1555714,https://openalex.org/W4392891102,markup
WAGE MARKDOWNS AND THE SORTING OF WORKERS TO FIRMS WHEN SKILLS ARE BUNDLED,2025,Philippe Choné; Francis Kramarz; Oskar Nordström Skans,HAL (Le Centre pour la Communication Scientifique Directe),Preprint,WorkingPaper/Preprint,Industrial organization,Method,Firm-level,Yes,production function,Unknown,Unknown,Unknown,,https://hal.science/hal-05415472,https://openalex.org/W7117183084,markdown
"Productivity, Markups, and Reallocation: Evidence from French Manufacturing Firms from 1994 to 2016",2023,Enrico De Monte,Research Square (Research Square),Preprint,WorkingPaper/Preprint,Industrial organization,Method,Firm-level,Yes,production function,Unknown,Unknown,Unknown,https://doi.org/10.21203/rs.3.rs-3758187/v1,http://dx.doi.org/10.21203/rs.3.rs-3758187/v1,https://openalex.org/W4389941353,markup
Rising Markups or Changing Technology?,2022,Lucia Foster; John Haltiwanger; Cody Tuttle,,Working paper/report,WorkingPaper/Preprint,Industrial organization,Method,Firm-level,Yes,cost share,Unknown,Unknown,Unknown,https://doi.org/10.3386/w30491,https://doi.org/10.3386/w30491,https://openalex.org/W4297103811,markup
"Empirical investigation into market power, markups and employment",2021,Vladimír Peciar,RePEc: Research Papers in Economics,Preprint,WorkingPaper/Preprint,Industrial organization,Method,Firm-level,Yes,de loecker; production function,Unknown,Unknown,Unknown,https://doi.org/10.5817/wp_muni_econ_2021-03,https://www.econstor.eu/bitstream/10419/237412/1/WP-MUNI-ECON-2021-03.pdf,https://openalex.org/W3127232525,markup
"Digital transformation, price markup, and company expense stickiness: A market competition perspective",2026,YongYuan Chen; Kung‐Cheng Ho,SSRN Electronic Journal,Preprint,WorkingPaper/Preprint,Industrial organization,Unknown,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.6018716,https://doi.org/10.2139/ssrn.6018716,https://openalex.org/W7118168669,markup
Balancing Profitability and Waste Reduction: Optimizing Markdown Policies for Expiring Retail Inventory,2025,Alexander Hübner; Lena Riesenegger,SSRN Electronic Journal,Preprint,WorkingPaper/Preprint,Industrial organization,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.5089671,https://doi.org/10.2139/ssrn.5089671,https://openalex.org/W4406215295,markdown
Do Larger Firms Exert More Market Power? Markups and Markdowns Along the Size Distribution,2025,Matthias Mertens; Bernardo Mottironi,SSRN Electronic Journal,Preprint,WorkingPaper/Preprint,Industrial organization,Unknown,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.5277100,https://doi.org/10.2139/ssrn.5277100,https://openalex.org/W4410917394,markup
Identifying Firm vs. Product Markups Using Production Data: Micro Estimates and Aggregate Implications,2025,John Cairncross; Peter Morrow; Scott Orr; Swapnika Rachapalli,SSRN Electronic Journal,Preprint,WorkingPaper/Preprint,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.5187044,https://doi.org/10.2139/ssrn.5187044,https://openalex.org/W4409450213,markup
Increasing Markups and the Concentration of Sales Share,2025,Guy Leonel Siwe,SSRN Electronic Journal,Preprint,WorkingPaper/Preprint,Industrial organization,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.5186301,https://doi.org/10.2139/ssrn.5186301,https://openalex.org/W4408827025,markup
Markups and Inflation in Oligopolistic Markets: Evidence from Wholesale Price Data,2025,Patrick Alexander; Lu Han; Oleksiy Kryvtsov; Ben Tomlin,SSRN Electronic Journal,Preprint,WorkingPaper/Preprint,Industrial organization,Empirical,Macro aggregate,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.5205311,https://doi.org/10.2139/ssrn.5205311,https://openalex.org/W4410110725,markup
"Markups, Markdowns, and Bargaining in a Vertical Supply Chain",2025,Rémi Avignon; Claire Chambolle; Etienne Guigue; Hugo Molina,SSRN Electronic Journal,Preprint,WorkingPaper/Preprint,Industrial organization,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.5373689,https://doi.org/10.2139/ssrn.5373689,https://openalex.org/W4412781155,markup
"Markups, Markdowns, and Bargaining in a Vertical Supply Chain",2025,Rémi Avignon; Claire Chambolle; Etienne Guigue; Hugo Molina,SSRN Electronic Journal,Preprint,WorkingPaper/Preprint,Industrial organization,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.5066421,https://doi.org/10.2139/ssrn.5066421,https://openalex.org/W4406367658,markup
"Multi-Product Exporters, Variable Markups and Trade Policy Uncertainty",2025,Renyu Li; Ziqi Wang; Qian Zhang; Tenglong Zhong,SSRN Electronic Journal,Preprint,WorkingPaper/Preprint,Industrial organization,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.5088221,https://doi.org/10.2139/ssrn.5088221,https://openalex.org/W4406171201,markup
"Technology Adoption, Market Power, and the Dual Dynamics of Value Premium and Markups *",2025,Xiaoji Lin; Chao Ying; Terry Zhang,SSRN Electronic Journal,Preprint,WorkingPaper/Preprint,Industrial organization,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.5219637,https://doi.org/10.2139/ssrn.5219637,https://openalex.org/W4410110436,markup
Time Use and the Efficiency Of Heterogeneous Markups,2025,Brian C. Albrecht; Thomas Phelan; Nicholas Pretnar,SSRN Electronic Journal,Preprint,WorkingPaper/Preprint,Industrial organization,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.5097764,https://doi.org/10.2139/ssrn.5097764,https://openalex.org/W4406358196,markup
What Determines 401(k) Plan Fees? A Dynamic Model of Transaction Costs and Markups,2025,Hai Jun Yang,SSRN Electronic Journal,Preprint,WorkingPaper/Preprint,Industrial organization,Theory,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.5185177,https://doi.org/10.2139/ssrn.5185177,https://openalex.org/W4409156852,markup
Environmental Regulation and Markups of Multi-Product Enterprises at Different Life Cycle Stages,2024,Wencui Du; 秋尧 陈,SSRN Electronic Journal,Preprint,WorkingPaper/Preprint,Industrial organization,Unknown,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4865004,http://dx.doi.org/10.2139/ssrn.4865004,https://openalex.org/W4399658691,markup
"Export Demand Shocks, Resource Allocation and Markups: Evidence from Chinese Multi-Product Firms",2024,Lei Wang; Yiming Yuan; Yongming Sun; Q. Sun,SSRN Electronic Journal,Preprint,WorkingPaper/Preprint,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4861922,http://dx.doi.org/10.2139/ssrn.4861922,https://openalex.org/W4399524089,markup
Extension of Multi-Product Firm Markups Estimation: Firm-Product-Destination Heterogeneity,2024,Sun Lin; Hui-jie YU,SSRN Electronic Journal,Preprint,WorkingPaper/Preprint,Industrial organization,Unknown,Product-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4933897,http://dx.doi.org/10.2139/ssrn.4933897,https://openalex.org/W4401734061,markup
Markups and Cost Pass-through Along the Supply Chain,2024,Santiago García Álvarez; Alberto Cavallo; Alex Mackay; Paolo Mengano,SSRN Electronic Journal,Preprint,WorkingPaper/Preprint,Industrial organization,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4935032,https://doi.org/10.2139/ssrn.4935032,https://openalex.org/W4402742361,markup
Rising Markups and the Role of Consumer Preferences,2024,Hendrik Döpper; Alex Mackay; N. A. Miller; Joel Stiebale,,Working paper/report,WorkingPaper/Preprint,Industrial organization,Unknown,Individual/household,No,,Unknown,Unknown,Unknown,https://doi.org/10.3386/w32739,https://doi.org/10.3386/w32739,https://openalex.org/W4401066639,markup
The Impact of Exchange Rate Fluctuations on Markups -- Firm-Level Evidence for Switzerland,2024,Elizabeth D. Steiner,SSRN Electronic Journal,Preprint,WorkingPaper/Preprint,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4833085,https://doi.org/10.2139/ssrn.4833085,https://openalex.org/W4397029939,markup
The Impact of Internal Trade Liberalizations on Plant Productivity and Markups,2024,Daniel Teeter,SSRN Electronic Journal,Preprint,WorkingPaper/Preprint,Industrial organization,Unknown,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4976105,http://dx.doi.org/10.2139/ssrn.4976105,https://openalex.org/W4404345726,markup
Time Use and the Efficiency of Heterogeneous Markups,2024,Brian C. Albrecht; Thomas Phelan; Nick Pretnar,SSRN Electronic Journal,Preprint,WorkingPaper/Preprint,Industrial organization,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4707099,http://dx.doi.org/10.2139/ssrn.4707099,https://openalex.org/W4391238308,markup
